transaction_id,amount,transaction_time,location,is_fraud
1,52.34,2025-07-01 08:15:23,New York,0
2,23.45,2025-07-01 09:12:11,Los Angeles,0
3,75.12,2025-07-01 10:45:09,Chicago,0
4,18.90,2025-07-01 11:30:45,Houston,0
5,120.00,2025-07-01 12:05:33,Phoenix,0
6,45.67,2025-07-01 13:22:18,Philadelphia,0
7,33.21,2025-07-01 14:10:55,San Antonio,0
8,67.89,2025-07-01 15:47:02,San Diego,0
9,29.99,2025-07-01 16:33:40,Dallas,0
10,88.76,2025-07-01 17:20:27,San Jose,0
11,54.32,2025-07-01 18:15:13,Austin,0
12,21.45,2025-07-01 19:02:59,Jacksonville,0
13,76.54,2025-07-01 20:50:46,Fort Worth,0
14,19.87,2025-07-01 21:37:33,Columbus,0
15,110.23,2025-07-01 22:24:20,Charlotte,0
16,47.65,2025-07-01 23:11:07,San Francisco,0
17,35.12,2025-07-02 00:57:54,Indianapolis,0
18,68.90,2025-07-02 01:44:41,Seattle,0
19,31.23,2025-07-02 02:31:28,Denver,0
20,90.45,2025-07-02 03:18:15,Washington,0
21,56.78,2025-07-02 04:05:02,Boston,0
22,22.34,2025-07-02 04:51:49,El Paso,0
23,77.12,2025-07-02 05:38:36,Detroit,0
24,20.90,2025-07-02 06:25:23,Nashville,0
25,115.00,2025-07-02 07:12:10,Memphis,0
26,49.67,2025-07-02 07:58:57,Portland,0
27,37.21,2025-07-02 08:45:44,Oklahoma City,0
28,69.89,2025-07-02 09:32:31,Las Vegas,0
29,32.99,2025-07-02 10:19:18,Louisville,0
30,92.76,2025-07-02 11:06:05,Baltimore,0
31,58.32,2025-07-02 11:52:52,Milwaukee,0
32,23.45,2025-07-02 12:39:39,Albuquerque,0
33,78.54,2025-07-02 13:26:26,Tucson,0
34,21.87,2025-07-02 14:13:13,Fresno,0
35,112.23,2025-07-02 15:00:00,Sacramento,0
36,50.65,2025-07-02 15:46:47,Kansas City,0
37,38.12,2025-07-02 16:33:34,Long Beach,0
38,70.90,2025-07-02 17:20:21,Mesa,0
39,34.23,2025-07-02 18:07:08,Atlanta,0
40,94.45,2025-07-02 18:53:55,Colorado Springs,0
41,60.78,2025-07-02 19:40:42,Virginia Beach,0
42,24.34,2025-07-02 20:27:29,Raleigh,0
43,79.12,2025-07-02 21:14:16,Omaha,0
44,22.90,2025-07-02 22:01:03,Miami,0
45,118.00,2025-07-02 22:47:50,Oakland,0
46,51.67,2025-07-02 23:34:37,Minneapolis,0
47,39.21,2025-07-03 00:21:24,Tulsa,0
48,71.89,2025-07-03 01:08:11,Arlington,0
49,35.99,2025-07-03 01:54:58,New Orleans,0
50,96.76,2025-07-03 02:41:45,Wichita,0
51,62.32,2025-07-03 03:28:32,Cleveland,0
52,25.45,2025-07-03 04:15:19,Tampa,0
53,80.54,2025-07-03 05:02:06,Aurora,0
54,23.87,2025-07-03 05:48:53,Honolulu,0
55,114.23,2025-07-03 06:35:40,Anaheim,0
56,52.65,2025-07-03 07:22:27,Lexington,0
57,40.12,2025-07-03 08:09:14,Stockton,0
58,72.90,2025-07-03 08:56:01,Corpus Christi,0
59,36.23,2025-07-03 09:42:48,Henderson,0
60,98.45,2025-07-03 10:29:35,Riverside,0
61,64.78,2025-07-03 11:16:22,St. Louis,0
62,26.34,2025-07-03 12:03:09,Cincinnati,0
63,81.12,2025-07-03 12:49:56,Greensboro,0
64,24.90,2025-07-03 13:36:43,Plano,0
65,121.00,2025-07-03 14:23:30,Orlando,0
66,53.67,2025-07-03 15:10:17,Lincoln,0
67,41.21,2025-07-03 15:57:04,Toledo,0
68,73.89,2025-07-03 16:43:51,Chula Vista,0
69,37.99,2025-07-03 17:30:38,Fort Wayne,0
70,100.76,2025-07-03 18:17:25,Jersey City,0
71,66.32,2025-07-03 19:04:12,St. Paul,0
72,27.45,2025-07-03 19:50:59,Durham,0
73,82.54,2025-07-03 20:37:46,Anchorage,0
74,25.87,2025-07-03 21:24:33,Laredo,0
75,116.23,2025-07-03 22:11:20,Chandler,0
76,54.65,2025-07-03 22:58:07,Madison,0
77,42.12,2025-07-03 23:44:54,Lubbock,0
78,74.90,2025-07-04 00:31:41,Scottsdale,0
79,39.23,2025-07-04 01:18:28,Reno,0
80,102.45,2025-07-04 02:05:15,Buffalo,0
81,68.78,2025-07-04 02:52:02,Glendale,0
82,28.34,2025-07-04 03:38:49,North Las Vegas,0
83,83.12,2025-07-04 04:25:36,Gilbert,0
84,26.90,2025-07-04 05:12:23,Winston-Salem,0
85,123.00,2025-07-04 05:59:10,Chesapeake,0
86,55.67,2025-07-04 06:45:57,Irving,0
87,43.21,2025-07-04 07:32:44,Hialeah,0
88,75.89,2025-07-04 08:19:31,Garland,0
89,40.99,2025-07-04 09:06:18,Montgomery,0
90,104.76,2025-07-04 09:53:05,Baton Rouge,0
91,70.32,2025-07-04 10:39:52,Arlington,0
92,29.45,2025-07-04 11:26:39,Boise,0
93,84.54,2025-07-04 12:13:26,Des Moines,0
94,27.87,2025-07-04 13:00:13,Spokane,0
95,119.23,2025-07-04 13:47:00,San Bernardino,0
96,56.65,2025-07-04 14:33:47,Modesto,0
97,44.12,2025-07-04 15:20:34,Tacoma,0
98,76.90,2025-07-04 16:07:21,Fontana,0
99,41.23,2025-07-04 16:54:08,Oxnard,0
100,106.45,2025-07-04 17:40:55,Moreno Valley,0
101,2000.00,2025-07-04 18:27:42,Unknown,1
102,1800.00,2025-07-04 19:14:29,Unknown,1
103,1500.00,2025-07-04 20:01:16,Unknown,1
104,1700.00,2025-07-04 20:48:03,Unknown,1
105,1600.00,2025-07-04 21:34:50,Unknown,1
106,52.34,2025-07-04 22:21:37,New York,0
107,23.45,2025-07-04 23:08:24,Los Angeles,0
108,75.12,2025-07-05 00:55:11,Chicago,0
109,18.90,2025-07-05 01:41:58,Houston,0
110,120.00,2025-07-05 02:28:45,Phoenix,0
111,45.67,2025-07-05 03:15:32,Philadelphia,0
112,33.21,2025-07-05 04:02:19,San Antonio,0
113,67.89,2025-07-05 04:49:06,San Diego,0
114,29.99,2025-07-05 05:35:53,Dallas,0
115,88.76,2025-07-05 06:22:40,San Jose,0
116,54.32,2025-07-05 07:09:27,Austin,0
117,21.45,2025-07-05 07:56:14,Jacksonville,0
118,76.54,2025-07-05 08:43:01,Fort Worth,0
119,19.87,2025-07-05 09:29:48,Columbus,0
120,110.23,2025-07-05 10:16:35,Charlotte,0
121,47.65,2025-07-05 11:03:22,San Francisco,0
122,35.12,2025-07-05 11:50:09,Indianapolis,0
123,68.90,2025-07-05 12:36:56,Seattle,0
124,31.23,2025-07-05 13:23:43,Denver,0
125,90.45,2025-07-05 14:10:30,Washington,0
126,56.78,2025-07-05 14:57:17,Boston,0
127,22.34,2025-07-05 15:44:04,El Paso,0
128,77.12,2025-07-05 16:30:51,Detroit,0
129,20.90,2025-07-05 17:17:38,Nashville,0
130,115.00,2025-07-05 18:04:25,Memphis,0
131,49.67,2025-07-05 18:51:12,Portland,0
132,37.21,2025-07-05 19:37:59,Oklahoma City,0
133,69.89,2025-07-05 20:24:46,Las Vegas,0
134,32.99,2025-07-05 21:11:33,Louisville,0
