
date,sales
2020-01-01,1200
2020-02-01,1150
2020-03-01,1300
2020-04-01,1250
2020-05-01,1400
2020-06-01,1350
2020-07-01,1500
2020-08-01,1450
2020-09-01,1600
2020-10-01,1550
2020-11-01,1700
2020-12-01,1650
2021-01-01,1250
2021-02-01,1200
2021-03-01,1350
2021-04-01,1300
2021-05-01,1450
2021-06-01,1400
2021-07-01,1550
2021-08-01,1500
2021-09-01,1650
2021-10-01,1600
2021-11-01,1750
2021-12-01,1700
2022-01-01,1300
2022-02-01,1250
2022-03-01,1400
2022-04-01,1350
2022-05-01,1500
2022-06-01,1450
2022-07-01,1600
2022-08-01,1550
2022-09-01,1700
2022-10-01,1650
2022-11-01,1800
2022-12-01,1750
2023-01-01,1350
2023-02-01,1300
2023-03-01,1450
2023-04-01,1400
2023-05-01,1550
2023-06-01,1500
2023-07-01,1650
2023-08-01,1600
2023-09-01,1750
2023-10-01,1700
2023-11-01,1850
2023-12-01,1800
2024-01-01,1400
2024-02-01,1350
2024-03-01,1500
2024-04-01,1450
2024-05-01,1600
2024-06-01,1550
2024-07-01,1700
2024-08-01,1650
2024-09-01,1800
2024-10-01,1750
2024-11-01,1900
2024-12-01,1850
2025-01-01,1450
2025-02-01,1400
2025-03-01,1550
2025-04-01,1500
2025-05-01,1650
2025-06-01,1600
2025-07-01,1750
2025-08-01,1700
2025-09-01,1850
2025-10-01,1800
2025-11-01,1950
2025-12-01,1900
